Date,HomeTeam,AwayTeam,FTHG,FTAG
2005-09-14,Club Brugge,Juventus,1,2
2005-09-14,SK Rapid Wien,Bayern München,0,1
2005-09-14,Arsenal,FC Thun,2,1
2005-09-14,Sparta Praha,Ajax,1,1
2005-09-14,Udinese,Panathinaikos,3,0
2005-09-14,Werder Bremen,Barcelona,0,2
2005-09-14,SL Benfica,Lille OSC,1,0
2005-09-14,Villarreal,Manchester United,0,0
2005-09-13,Milan,Fenerbahçe,3,1
2005-09-13,PSV Eindhoven,FC Schalke 04,1,0
2005-09-13,Olympiacos,Rosenborg BK,1,3
2005-09-13,Olympique Lyonnais,Real Madrid,3,0
2005-09-13,Chelsea,RSC Anderlecht,1,0
2005-09-13,Real Betis Balompié,Liverpool,1,2
2005-09-13,FC Petrzalka 1898,Inter,0,1
2005-09-13,Rangers,FC Porto,3,2
2005-09-27,Bayern München,Club Brugge,1,0
2005-09-27,Juventus,SK Rapid Wien,3,0
2005-09-27,Ajax,Arsenal,1,2
2005-09-27,FC Thun,Sparta Praha,1,0
2005-09-27,Barcelona,Udinese,4,1
2005-09-27,Panathinaikos,Werder Bremen,2,1
2005-09-27,Lille OSC,Villarreal,0,0
2005-09-27,Manchester United,SL Benfica,2,1
2005-09-28,FC Schalke 04,Milan,2,2
2005-09-28,Fenerbahçe,PSV Eindhoven,3,0
2005-09-28,Real Madrid,Olympiacos,2,1
2005-09-28,Rosenborg BK,Olympique Lyonnais,0,1
2005-09-28,Liverpool,Chelsea,0,0
2005-09-28,RSC Anderlecht,Real Betis Balompié,0,1
2005-09-28,FC Porto,FC Petrzalka 1898,2,3
2005-09-28,Inter,Rangers,1,0
2005-10-18,Bayern München,Juventus,2,1
2005-10-18,SK Rapid Wien,Club Brugge,0,1
2005-10-18,Ajax,FC Thun,2,0
2005-10-18,Sparta Praha,Arsenal,0,2
2005-10-18,Panathinaikos,Barcelona,0,0
2005-10-18,Udinese,Werder Bremen,1,1
2005-10-18,Manchester United,Lille OSC,0,0
2005-10-18,Villarreal,SL Benfica,1,1
2005-10-19,Fenerbahçe,FC Schalke 04,3,3
2005-10-19,Milan,PSV Eindhoven,0,0
2005-10-19,Olympique Lyonnais,Olympiacos,2,1
2005-10-19,Real Madrid,Rosenborg BK,4,1
2005-10-19,Chelsea,Real Betis Balompié,4,0
2005-10-19,RSC Anderlecht,Liverpool,0,1
2005-10-19,FC Porto,Inter,2,0
2005-10-19,Rangers,FC Petrzalka 1898,0,0
2005-11-02,Club Brugge,SK Rapid Wien,3,2
2005-11-02,Juventus,Bayern München,2,1
2005-11-02,Arsenal,Sparta Praha,3,0
2005-11-02,FC Thun,Ajax,2,4
2005-11-02,Barcelona,Panathinaikos,5,0
2005-11-02,Werder Bremen,Udinese,4,3
2005-11-02,Lille OSC,Manchester United,1,0
2005-11-02,SL Benfica,Villarreal,0,1
2005-11-01,FC Schalke 04,Fenerbahçe,2,0
2005-11-01,PSV Eindhoven,Milan,1,0
2005-11-01,Olympiacos,Olympique Lyonnais,1,4
2005-11-01,Rosenborg BK,Real Madrid,0,2
2005-11-01,Liverpool,RSC Anderlecht,3,0
2005-11-01,Real Betis Balompié,Chelsea,1,0
2005-11-01,FC Petrzalka 1898,Rangers,2,2
2005-11-01,Inter,FC Porto,2,1
2005-11-22,Bayern München,SK Rapid Wien,4,0
2005-11-22,Juventus,Club Brugge,1,0
2005-11-22,Ajax,Sparta Praha,2,1
2005-11-22,FC Thun,Arsenal,0,1
2005-11-22,Barcelona,Werder Bremen,3,1
2005-11-22,Panathinaikos,Udinese,1,2
2005-11-22,Lille OSC,SL Benfica,0,0
2005-11-22,Manchester United,Villarreal,0,0
2005-11-23,FC Schalke 04,PSV Eindhoven,3,0
2005-11-23,Fenerbahçe,Milan,0,4
2005-11-23,Real Madrid,Olympique Lyonnais,1,1
2005-11-23,Rosenborg BK,Olympiacos,1,1
2005-11-23,Liverpool,Real Betis Balompié,0,0
2005-11-23,RSC Anderlecht,Chelsea,0,2
2005-11-23,FC Porto,Rangers,1,1
2005-11-23,Inter,FC Petrzalka 1898,4,0
2006-02-21,Bayern München,Milan,1,1
2006-02-21,PSV Eindhoven,Olympique Lyonnais,0,1
2006-02-21,Real Madrid,Arsenal,0,1
2006-02-21,SL Benfica,Liverpool,1,0
2006-02-22,Ajax,Inter,2,2
2006-02-22,Chelsea,Barcelona,1,2
2006-02-22,Rangers,Villarreal,2,2
2006-02-22,Werder Bremen,Juventus,3,2
2006-03-07,Barcelona,Chelsea,1,1
2006-03-07,Juventus,Werder Bremen,2,1
2006-03-07,Villarreal,Rangers,1,1
2006-03-08,Arsenal,Real Madrid,0,0
2006-03-08,Liverpool,SL Benfica,0,2
2006-03-08,Milan,Bayern München,4,1
2006-03-08,Olympique Lyonnais,PSV Eindhoven,4,0
2006-03-14,Inter,Ajax,1,0
2006-03-28,Arsenal,Juventus,2,0
2006-03-28,SL Benfica,Barcelona,0,0
2006-03-29,Inter,Villarreal,2,1
2006-03-29,Olympique Lyonnais,Milan,0,0
2006-04-04,Milan,Olympique Lyonnais,3,1
2006-04-04,Villarreal,Inter,1,0
2006-04-05,Barcelona,SL Benfica,2,0
2006-04-05,Juventus,Arsenal,0,0
2006-04-18,Milan,Barcelona,0,1
2006-04-19,Arsenal,Villarreal,1,0
2006-04-25,Villarreal,Arsenal,0,0
2006-04-26,Barcelona,Milan,0,0
2006-05-17,Barcelona,Arsenal,2,1
2006-09-12,Barcelona,Levski Sofia,5,0
2006-09-12,Chelsea,Werder Bremen,2,0
2006-09-12,Bayern München,Spartak Moscow,4,0
2006-09-12,Sporting CP,Inter,1,0
2006-09-12,Galatasaray,Bordeaux,0,0
2006-09-12,PSV Eindhoven,Liverpool,0,0
2006-09-12,Olympiacos,Valencia,2,4
2006-09-12,Roma,Shakhtar Donetsk,4,0
2006-09-13,Dynamo Kyiv,FCSB,1,4
2006-09-13,Olympique Lyonnais,Real Madrid,2,0
2006-09-13,FC København,SL Benfica,0,0
2006-09-13,Manchester United,Celtic,3,2
2006-09-13,FC Porto,CSKA Moscow,0,0
2006-09-13,Hamburger SV,Arsenal,1,2
2006-09-13,Milan,AEK Athens,3,0
2006-09-13,RSC Anderlecht,Lille OSC,1,1
2006-09-27,Levski Sofia,Chelsea,1,3
2006-09-27,Werder Bremen,Barcelona,1,1
2006-09-27,Spartak Moscow,Sporting CP,1,1
2006-09-27,Inter,Bayern München,0,2
2006-09-27,Bordeaux,PSV Eindhoven,0,1
2006-09-27,Liverpool,Galatasaray,3,2
2006-09-27,Shakhtar Donetsk,Olympiacos,2,2
2006-09-27,Valencia,Roma,2,1
2006-09-26,FCSB,Olympique Lyonnais,0,3
2006-09-26,Real Madrid,Dynamo Kyiv,5,1
2006-09-26,Celtic,FC København,1,0
2006-09-26,SL Benfica,Manchester United,0,1
2006-09-26,CSKA Moscow,Hamburger SV,1,0
2006-09-26,Arsenal,FC Porto,2,0
2006-09-26,AEK Athens,RSC Anderlecht,1,1
2006-09-26,Lille OSC,Milan,0,0
2006-10-18,Chelsea,Barcelona,1,0
2006-10-18,Werder Bremen,Levski Sofia,2,0
2006-10-18,Inter,Spartak Moscow,2,1
2006-10-18,Sporting CP,Bayern München,0,1
2006-10-18,Bordeaux,Liverpool,0,1
2006-10-18,Galatasaray,PSV Eindhoven,1,2
2006-10-18,Olympiacos,Roma,0,1
2006-10-18,Valencia,Shakhtar Donetsk,2,0
2006-10-17,Dynamo Kyiv,Olympique Lyonnais,0,3
2006-10-17,FCSB,Real Madrid,1,4
2006-10-17,Celtic,SL Benfica,3,0
2006-10-17,Manchester United,FC København,3,0
2006-10-17,CSKA Moscow,Arsenal,1,0
2006-10-17,FC Porto,Hamburger SV,4,1
2006-10-17,Lille OSC,AEK Athens,3,1
2006-10-17,RSC Anderlecht,Milan,0,1
2006-10-31,Barcelona,Chelsea,2,2
2006-10-31,Levski Sofia,Werder Bremen,0,3
2006-10-31,Spartak Moscow,Inter,0,1
2006-10-31,Bayern München,Sporting CP,0,0
2006-10-31,Liverpool,Bordeaux,3,0
2006-10-31,PSV Eindhoven,Galatasaray,2,0
2006-10-31,Roma,Olympiacos,1,1
2006-10-31,Shakhtar Donetsk,Valencia,2,2
2006-11-01,Olympique Lyonnais,Dynamo Kyiv,1,0
2006-11-01,Real Madrid,FCSB,1,0
2006-11-01,FC København,Manchester United,1,0
2006-11-01,SL Benfica,Celtic,3,0
2006-11-01,Arsenal,CSKA Moscow,0,0
2006-11-01,Hamburger SV,FC Porto,1,3
2006-11-01,AEK Athens,Lille OSC,1,0
2006-11-01,Milan,RSC Anderlecht,4,1
2006-11-22,Levski Sofia,Barcelona,0,2
2006-11-22,Werder Bremen,Chelsea,1,0
2006-11-22,Spartak Moscow,Bayern München,2,2
2006-11-22,Inter,Sporting CP,1,0
2006-11-22,Bordeaux,Galatasaray,3,1
2006-11-22,Liverpool,PSV Eindhoven,2,0
2006-11-22,Shakhtar Donetsk,Roma,1,0
2006-11-22,Valencia,Olympiacos,2,0
2006-11-21,FCSB,Dynamo Kyiv,1,1
2006-11-21,Real Madrid,Olympique Lyonnais,2,2
2006-11-21,Celtic,Manchester United,1,0
2006-11-21,SL Benfica,FC København,3,1
2006-11-21,CSKA Moscow,FC Porto,0,2
2006-11-21,Arsenal,Hamburger SV,3,1
2006-11-21,AEK Athens,Milan,1,0
2006-11-21,Lille OSC,RSC Anderlecht,2,2
2007-02-20,Celtic,Milan,0,0
2007-02-20,Lille OSC,Manchester United,0,1
2007-02-20,PSV Eindhoven,Arsenal,1,0
2007-02-20,Real Madrid,Bayern München,3,2
2007-02-21,Barcelona,Liverpool,1,2
2007-02-21,FC Porto,Chelsea,1,1
2007-02-21,Inter,Valencia,2,2
2007-02-21,Roma,Olympique Lyonnais,0,0
2007-03-06,Chelsea,FC Porto,2,1
2007-03-06,Liverpool,Barcelona,0,1
2007-03-06,Olympique Lyonnais,Roma,0,2
2007-03-06,Valencia,Inter,0,0
2007-03-07,Arsenal,PSV Eindhoven,1,1
2007-03-07,Bayern München,Real Madrid,2,1
2007-03-07,Manchester United,Lille OSC,1,0
2007-03-07,Milan,Celtic,0(1),0(0)
2007-04-03,Milan,Bayern München,2,2
2007-04-03,PSV Eindhoven,Liverpool,0,3
2007-04-04,Chelsea,Valencia,1,1
2007-04-04,Roma,Manchester United,2,1
2007-04-10,Manchester United,Roma,7,1
2007-04-10,Valencia,Chelsea,1,2
2007-04-11,Bayern München,Milan,0,2
2007-04-11,Liverpool,PSV Eindhoven,1,0
2007-04-24,Manchester United,Milan,3,2
2007-04-25,Chelsea,Liverpool,1,0
